ip,method,url,status,size
192.168.1.11,PUT,/login,500,3737
192.168.1.94,GET,/cart,200,300
192.168.1.164,GET,/home,200,3987
192.168.1.54,GET,/products,404,4992
192.168.1.230,GET,/login,500,4365
192.168.1.210,POST,/login,200,1305
192.168.1.250,PUT,/products,200,1271
192.168.1.191,GET,/cart,200,2230
192.168.1.163,GET,/cart,200,4899
192.168.1.166,PUT,/login,200,3565
192.168.1.227,PUT,/login,404,4468
192.168.1.12,GET,/login,200,3403
192.168.1.98,GET,/login,200,2921
192.168.1.205,GET,/home,200,2421
192.168.1.128,PUT,/login,500,4374
192.168.1.170,GET,/products,500,1409
192.168.1.21,POST,/cart,200,2451
192.168.1.236,PUT,/cart,200,1739
192.168.1.67,PUT,/products,200,4341
192.168.1.242,GET,/cart,200,3891
192.168.1.134,GET,/products,500,4726
192.168.1.47,PUT,/products,200,2267
192.168.1.67,POST,/products,500,3626
192.168.1.48,GET,/products,500,3709
192.168.1.70,POST,/products,200,1399
192.168.1.77,POST,/login,200,330
192.168.1.12,POST,/products,500,3874
192.168.1.200,POST,/cart,404,1315
192.168.1.24,POST,/home,200,2625
192.168.1.147,GET,/login,404,4284
192.168.1.14,POST,/products,200,1548
192.168.1.240,POST,/products,404,1886
192.168.1.163,GET,/products,200,3341
192.168.1.116,PUT,/login,200,2456
192.168.1.62,GET,/cart,200,3113
192.168.1.38,GET,/home,200,3390
192.168.1.192,PUT,/login,200,2091
192.168.1.123,PUT,/products,200,1663
192.168.1.249,GET,/login,404,1849
192.168.1.91,GET,/cart,404,3109
192.168.1.122,PUT,/cart,200,1299
192.168.1.39,PUT,/home,404,1718
192.168.1.212,GET,/login,200,2062
192.168.1.154,GET,/products,404,1607
192.168.1.146,POST,/cart,200,1837
192.168.1.126,PUT,/login,200,1565
192.168.1.133,GET,/home,200,655
192.168.1.87,PUT,/home,200,1521
192.168.1.163,POST,/home,404,1176
192.168.1.126,POST,/login,200,4293
192.168.1.65,POST,/cart,500,4814
192.168.1.42,GET,/products,500,1878
192.168.1.241,GET,/products,200,1073
192.168.1.82,POST,/products,200,2470
192.168.1.144,PUT,/products,200,758
192.168.1.141,GET,/home,404,1799
192.168.1.9,GET,/home,500,3632
192.168.1.134,PUT,/login,404,4169
192.168.1.117,PUT,/login,200,584
192.168.1.115,POST,/products,200,4409
192.168.1.208,POST,/cart,200,580
192.168.1.178,PUT,/products,200,948
192.168.1.49,POST,/home,200,1296
192.168.1.158,POST,/login,200,1564
192.168.1.102,POST,/products,200,3780
192.168.1.233,PUT,/cart,500,3202
192.168.1.190,POST,/home,200,714
192.168.1.59,PUT,/cart,200,2645
192.168.1.192,POST,/home,404,2186
192.168.1.125,POST,/login,200,1430
192.168.1.182,GET,/home,200,4217
192.168.1.158,GET,/login,200,3965
192.168.1.236,POST,/cart,200,492
192.168.1.223,GET,/cart,200,4748
192.168.1.158,PUT,/home,500,4010
192.168.1.232,GET,/login,200,3755
192.168.1.81,GET,/home,200,4562
192.168.1.205,GET,/cart,200,4415
192.168.1.128,GET,/home,500,4321
192.168.1.115,PUT,/products,200,4864
192.168.1.5,POST,/home,200,3514
192.168.1.112,POST,/cart,200,836
192.168.1.22,POST,/login,200,4105
192.168.1.17,PUT,/cart,500,4485
192.168.1.243,GET,/home,200,4451
192.168.1.171,PUT,/cart,200,3813
192.168.1.38,POST,/home,404,1269
192.168.1.238,PUT,/login,200,4891
192.168.1.200,PUT,/cart,200,3244
192.168.1.56,GET,/cart,200,303
192.168.1.202,PUT,/products,500,3117
192.168.1.128,PUT,/login,200,3875
192.168.1.29,PUT,/home,500,2196
192.168.1.48,GET,/cart,200,4956
192.168.1.107,GET,/products,200,4550
192.168.1.58,PUT,/cart,200,3284
192.168.1.131,PUT,/cart,200,873
192.168.1.162,PUT,/products,500,1534
192.168.1.243,POST,/home,500,2532
192.168.1.111,POST,/cart,200,1087
192.168.1.153,POST,/home,500,3837
192.168.1.19,PUT,/products,200,4589
192.168.1.133,GET,/home,200,2940
192.168.1.182,PUT,/products,404,257
192.168.1.115,POST,/login,200,4439
192.168.1.210,POST,/products,200,3391
192.168.1.142,PUT,/cart,200,4123
192.168.1.234,PUT,/home,500,4600
192.168.1.35,PUT,/cart,404,3520
192.168.1.189,PUT,/login,200,464
192.168.1.97,GET,/products,500,726
192.168.1.236,PUT,/products,200,2008
192.168.1.108,PUT,/cart,200,3340
192.168.1.12,PUT,/products,200,1234
192.168.1.72,PUT,/products,500,1370
192.168.1.77,PUT,/cart,500,439
192.168.1.141,POST,/login,404,1837
192.168.1.33,POST,/products,200,2459
192.168.1.122,PUT,/products,500,1150
192.168.1.207,PUT,/cart,404,3590
192.168.1.156,POST,/products,404,3920
192.168.1.94,POST,/login,200,1502
192.168.1.24,PUT,/home,200,501
192.168.1.228,POST,/home,200,3516
192.168.1.109,POST,/products,404,1982
192.168.1.100,POST,/login,404,1273
192.168.1.67,PUT,/home,500,4815
192.168.1.250,POST,/login,500,365
192.168.1.207,PUT,/products,200,3591
192.168.1.151,POST,/home,200,2316
192.168.1.21,GET,/cart,500,3387
192.168.1.37,POST,/cart,200,4117
192.168.1.125,GET,/products,404,1997
192.168.1.19,POST,/cart,500,3565
192.168.1.18,POST,/home,404,4926
192.168.1.227,POST,/login,200,4667
192.168.1.158,POST,/login,200,3102
192.168.1.55,GET,/cart,200,1990
192.168.1.10,POST,/home,200,3824
192.168.1.214,POST,/home,404,3522
192.168.1.226,GET,/home,200,2596
192.168.1.20,PUT,/products,200,1806
192.168.1.185,PUT,/cart,404,1576
192.168.1.20,PUT,/home,200,2946
192.168.1.96,GET,/products,200,4284
192.168.1.223,POST,/home,200,3917
192.168.1.25,POST,/cart,500,4428
192.168.1.70,GET,/home,200,1989
192.168.1.209,PUT,/login,200,265
192.168.1.18,POST,/cart,404,698
192.168.1.43,POST,/login,200,2489
192.168.1.239,GET,/home,200,2262
192.168.1.40,PUT,/cart,200,1825
192.168.1.27,POST,/home,200,4887
192.168.1.147,PUT,/products,200,2926
192.168.1.134,PUT,/products,200,4864
192.168.1.64,GET,/products,404,688
192.168.1.88,PUT,/cart,500,3935
192.168.1.107,GET,/login,404,2000
192.168.1.243,PUT,/cart,200,4765
192.168.1.234,GET,/login,404,3773
192.168.1.108,POST,/products,404,3526
192.168.1.189,POST,/home,200,2004
192.168.1.183,PUT,/home,200,931
192.168.1.195,PUT,/home,200,4324
192.168.1.119,POST,/products,500,1245
192.168.1.79,PUT,/login,200,3630
192.168.1.4,PUT,/home,200,1687
192.168.1.207,PUT,/login,200,2869
192.168.1.205,PUT,/login,500,2427
192.168.1.103,POST,/cart,500,258
192.168.1.222,GET,/products,404,3644
192.168.1.57,PUT,/products,404,3744
192.168.1.54,GET,/login,500,3112
192.168.1.54,PUT,/cart,404,3979
192.168.1.42,PUT,/cart,200,792
192.168.1.7,POST,/cart,500,1990
192.168.1.50,POST,/login,200,1628
192.168.1.190,PUT,/cart,200,354
192.168.1.110,PUT,/home,200,4150
192.168.1.164,GET,/products,500,959
192.168.1.146,POST,/products,500,4758
192.168.1.43,POST,/products,500,3906
192.168.1.125,GET,/home,500,3647
192.168.1.120,GET,/products,200,1929
192.168.1.64,PUT,/home,200,2723
192.168.1.9,PUT,/home,500,1132
192.168.1.90,POST,/login,500,3460
192.168.1.27,POST,/cart,200,3124
192.168.1.101,PUT,/login,200,1684
192.168.1.52,GET,/login,200,3295
192.168.1.53,POST,/login,404,3722
192.168.1.109,POST,/products,500,862
192.168.1.142,GET,/products,200,1510
192.168.1.12,PUT,/login,200,2519
192.168.1.161,GET,/home,404,464
192.168.1.16,GET,/products,500,1097
192.168.1.112,PUT,/login,200,1697
192.168.1.58,POST,/home,200,4723
192.168.1.158,POST,/cart,500,2711
192.168.1.60,PUT,/home,200,4265
192.168.1.178,GET,/cart,500,2196
192.168.1.243,GET,/home,500,4377
192.168.1.220,POST,/products,200,4657
192.168.1.74,GET,/products,500,1436
192.168.1.236,POST,/products,200,4161
192.168.1.45,POST,/home,404,309
192.168.1.132,GET,/login,200,3490
192.168.1.177,PUT,/home,404,2484
192.168.1.12,GET,/login,200,2429
192.168.1.93,PUT,/cart,200,4836
192.168.1.103,PUT,/products,404,858
192.168.1.87,PUT,/login,200,1411
192.168.1.79,POST,/home,500,1201
192.168.1.11,GET,/home,404,479
192.168.1.221,PUT,/cart,500,804
192.168.1.176,POST,/cart,500,635
192.168.1.201,PUT,/cart,200,4511
192.168.1.120,PUT,/cart,200,2050
192.168.1.249,POST,/login,200,2933
192.168.1.50,PUT,/home,500,2779
192.168.1.155,GET,/login,200,4507
192.168.1.60,PUT,/products,200,4450
192.168.1.29,PUT,/home,500,903
192.168.1.254,PUT,/login,500,4378
192.168.1.240,PUT,/login,200,487
192.168.1.236,POST,/cart,200,2112
192.168.1.168,GET,/products,500,4239
192.168.1.218,GET,/login,500,2278
192.168.1.185,GET,/home,200,3097
192.168.1.241,PUT,/products,500,958
192.168.1.217,POST,/products,200,3680
192.168.1.73,GET,/login,500,1056
192.168.1.55,PUT,/login,200,3023
192.168.1.159,PUT,/home,500,3630
192.168.1.43,PUT,/home,200,4646
192.168.1.170,GET,/home,500,4156
192.168.1.213,POST,/home,200,4628
192.168.1.52,POST,/products,200,2548
192.168.1.22,GET,/login,200,865
192.168.1.163,POST,/products,500,4267
192.168.1.165,GET,/home,404,3307
192.168.1.172,PUT,/products,200,1492
192.168.1.52,POST,/products,200,1582
192.168.1.191,PUT,/products,200,778
192.168.1.58,GET,/home,200,2637
192.168.1.27,PUT,/products,200,4061
192.168.1.230,PUT,/home,500,4020
192.168.1.19,POST,/products,500,3936
192.168.1.7,GET,/login,200,3435
192.168.1.143,GET,/products,200,637
192.168.1.237,PUT,/home,200,3232
192.168.1.150,GET,/products,500,2503
192.168.1.254,GET,/cart,404,2586
192.168.1.228,GET,/cart,200,3750
192.168.1.227,PUT,/cart,500,2796
192.168.1.5,PUT,/home,500,4347
192.168.1.91,GET,/home,200,1523
192.168.1.138,GET,/products,200,1830
192.168.1.230,POST,/login,404,1265
192.168.1.219,PUT,/login,200,628
192.168.1.55,POST,/cart,200,2536
192.168.1.57,PUT,/cart,200,3872
192.168.1.207,POST,/cart,404,1823
192.168.1.219,POST,/home,500,4047
192.168.1.158,POST,/products,200,4180
192.168.1.69,GET,/cart,200,4964
192.168.1.189,PUT,/home,404,638
192.168.1.34,POST,/login,200,2919
192.168.1.100,GET,/home,404,1980
192.168.1.53,GET,/login,200,3796
192.168.1.217,POST,/products,404,1286
192.168.1.217,GET,/home,500,3392
192.168.1.247,PUT,/cart,200,4318
192.168.1.97,GET,/products,200,4276
192.168.1.12,GET,/cart,200,804
192.168.1.13,GET,/login,200,3365
192.168.1.253,POST,/login,200,3712
192.168.1.68,GET,/cart,404,3004
192.168.1.16,GET,/products,200,2240
192.168.1.231,PUT,/cart,200,3108
192.168.1.19,PUT,/home,200,4777
192.168.1.236,POST,/home,200,905
192.168.1.146,GET,/cart,500,3253
192.168.1.226,POST,/products,200,3166
192.168.1.232,PUT,/cart,200,3164
192.168.1.146,GET,/products,200,662
192.168.1.29,POST,/products,500,1333
192.168.1.50,PUT,/login,404,3697
192.168.1.82,GET,/home,200,4032
192.168.1.105,PUT,/cart,200,4003
192.168.1.100,GET,/home,404,1192
192.168.1.30,GET,/cart,200,515
192.168.1.125,PUT,/products,200,1633
192.168.1.204,GET,/products,500,2219
192.168.1.218,GET,/home,200,4385
192.168.1.86,POST,/login,404,4743
192.168.1.228,GET,/products,200,2620
192.168.1.130,GET,/products,200,1746
192.168.1.114,GET,/products,500,4904
192.168.1.145,POST,/products,200,212
192.168.1.155,POST,/products,404,4974
192.168.1.80,GET,/home,200,4956
192.168.1.183,PUT,/login,200,4519
192.168.1.18,POST,/login,200,4069
192.168.1.171,PUT,/home,500,3390
192.168.1.187,GET,/cart,500,4568
192.168.1.228,POST,/cart,200,1433
192.168.1.17,GET,/cart,200,3513
192.168.1.224,PUT,/home,500,1505
192.168.1.134,PUT,/cart,200,742
192.168.1.84,POST,/products,200,215
192.168.1.39,GET,/products,200,1332
192.168.1.230,POST,/products,404,4580
192.168.1.98,GET,/cart,200,2345
192.168.1.235,GET,/cart,404,1844
192.168.1.147,POST,/login,200,247
192.168.1.3,PUT,/login,200,1925
192.168.1.163,POST,/login,500,2098
192.168.1.35,PUT,/products,200,994
192.168.1.71,GET,/products,200,4151
192.168.1.164,PUT,/login,200,4075
192.168.1.74,PUT,/cart,200,2441
192.168.1.8,GET,/products,500,499
192.168.1.26,GET,/home,200,1689
192.168.1.108,GET,/login,500,1437
192.168.1.200,PUT,/cart,500,4763
192.168.1.241,GET,/login,500,3525
192.168.1.76,PUT,/cart,200,2050
192.168.1.81,GET,/login,500,837
192.168.1.110,GET,/home,200,3887
192.168.1.229,POST,/cart,200,3823
192.168.1.219,PUT,/cart,200,793
192.168.1.175,POST,/home,404,4646
192.168.1.33,PUT,/login,500,2755
192.168.1.153,GET,/home,404,4731
192.168.1.46,GET,/cart,500,1173
192.168.1.217,GET,/products,200,2908
192.168.1.185,GET,/login,200,603
192.168.1.122,GET,/products,404,4724
192.168.1.2,GET,/login,200,1121
192.168.1.180,POST,/cart,200,1073
192.168.1.150,PUT,/products,200,3675
192.168.1.136,PUT,/products,200,3507
192.168.1.79,POST,/products,200,3737
192.168.1.16,POST,/products,404,601
192.168.1.111,PUT,/products,404,4745
192.168.1.178,PUT,/home,200,3990
192.168.1.6,GET,/products,404,1403
192.168.1.3,GET,/login,500,1557
192.168.1.64,POST,/home,500,4126
192.168.1.231,PUT,/cart,200,388
192.168.1.229,POST,/login,200,223
192.168.1.20,POST,/cart,404,2747
192.168.1.221,GET,/products,200,1554
192.168.1.252,GET,/cart,500,656
192.168.1.122,PUT,/products,404,4850
192.168.1.93,GET,/products,200,2431
192.168.1.213,POST,/cart,200,3869
192.168.1.113,GET,/cart,200,3780
192.168.1.202,GET,/login,200,2942
192.168.1.45,POST,/home,200,968
192.168.1.52,PUT,/login,404,3230
192.168.1.236,GET,/login,200,2634
192.168.1.110,GET,/cart,500,3737
192.168.1.166,PUT,/home,200,4168
192.168.1.119,POST,/products,404,1665
192.168.1.159,GET,/products,500,1495
192.168.1.168,POST,/cart,500,451
192.168.1.114,POST,/login,200,3062
192.168.1.32,GET,/cart,500,2847
192.168.1.147,POST,/cart,200,2360
192.168.1.143,POST,/login,404,4072
192.168.1.232,GET,/cart,200,2095
192.168.1.51,POST,/login,200,1445
192.168.1.169,POST,/cart,200,3356
192.168.1.178,GET,/home,500,3573
192.168.1.234,PUT,/home,200,3415
192.168.1.227,GET,/cart,500,827
192.168.1.6,PUT,/home,404,802
192.168.1.113,PUT,/home,404,2031
192.168.1.233,POST,/cart,200,3903
192.168.1.87,POST,/products,500,3050
192.168.1.24,GET,/login,200,3530
192.168.1.58,PUT,/home,200,1031
192.168.1.126,POST,/products,200,3042
192.168.1.65,PUT,/login,404,3162
192.168.1.23,PUT,/products,200,1554
192.168.1.152,GET,/home,200,835
192.168.1.81,GET,/login,404,4731
192.168.1.201,PUT,/login,200,4159
192.168.1.72,PUT,/cart,200,1071
192.168.1.200,PUT,/cart,404,2365
192.168.1.190,PUT,/home,404,2761
192.168.1.249,GET,/cart,404,3612
192.168.1.11,GET,/home,500,3497
192.168.1.148,POST,/cart,200,4786
192.168.1.14,GET,/login,200,3825
192.168.1.80,GET,/products,200,2063
192.168.1.198,GET,/home,200,2325
192.168.1.60,GET,/products,404,2991
192.168.1.81,GET,/cart,200,247
192.168.1.7,POST,/cart,404,3587
192.168.1.111,GET,/cart,200,4550
192.168.1.155,POST,/products,200,4493
192.168.1.79,PUT,/login,200,691
192.168.1.62,POST,/products,500,3224
192.168.1.89,GET,/login,200,2605
192.168.1.246,PUT,/products,200,4180
192.168.1.19,GET,/products,200,3063
192.168.1.167,GET,/login,404,1284
192.168.1.248,PUT,/home,200,4435
192.168.1.210,PUT,/home,200,3373
192.168.1.112,POST,/cart,200,4027
192.168.1.36,PUT,/products,200,4391
192.168.1.126,PUT,/home,200,3822
192.168.1.3,PUT,/cart,200,425
192.168.1.186,PUT,/cart,500,4358
192.168.1.69,POST,/products,404,1027
192.168.1.52,PUT,/cart,200,2326
192.168.1.2,POST,/login,200,2789
192.168.1.211,GET,/products,404,860
192.168.1.243,PUT,/login,200,4618
192.168.1.251,PUT,/home,404,2623
192.168.1.220,POST,/home,200,4199
192.168.1.45,GET,/cart,200,3986
192.168.1.128,POST,/home,200,2833
192.168.1.5,POST,/home,200,1673
192.168.1.127,POST,/home,200,2824
192.168.1.48,GET,/products,200,3353
192.168.1.110,PUT,/home,200,4551
192.168.1.1,GET,/login,200,2378
192.168.1.48,GET,/cart,404,4176
192.168.1.101,PUT,/home,500,4926
192.168.1.116,PUT,/products,200,4349
192.168.1.37,PUT,/login,500,1423
192.168.1.249,POST,/home,200,2510
192.168.1.16,PUT,/products,200,3667
192.168.1.202,POST,/cart,200,752
192.168.1.180,POST,/login,500,2193
192.168.1.38,GET,/cart,200,3960
192.168.1.93,GET,/login,200,4644
192.168.1.148,PUT,/home,200,1067
192.168.1.72,POST,/home,200,4424
192.168.1.194,GET,/products,500,2319
192.168.1.155,GET,/cart,200,626
192.168.1.243,POST,/cart,404,3417
192.168.1.200,POST,/home,200,3324
192.168.1.35,PUT,/login,200,4081
192.168.1.219,PUT,/cart,200,1097
192.168.1.6,PUT,/home,200,3799
192.168.1.225,PUT,/cart,200,707
192.168.1.210,PUT,/home,404,4881
192.168.1.170,POST,/home,200,423
192.168.1.191,POST,/home,200,1228
192.168.1.146,GET,/login,200,3516
192.168.1.183,POST,/login,404,4726
192.168.1.117,GET,/products,500,3573
192.168.1.1,PUT,/home,200,1425
192.168.1.177,POST,/login,200,542
192.168.1.191,POST,/home,404,3372
192.168.1.44,POST,/home,200,1331
192.168.1.110,POST,/login,500,3312
192.168.1.9,POST,/cart,200,4058
192.168.1.240,POST,/cart,404,1778
192.168.1.53,PUT,/home,404,871
192.168.1.251,GET,/home,200,3424
192.168.1.5,PUT,/home,404,2695
192.168.1.210,POST,/login,200,871
192.168.1.11,PUT,/home,200,965
192.168.1.129,PUT,/login,404,1955
192.168.1.197,PUT,/home,404,2669
192.168.1.254,POST,/products,200,2396
192.168.1.96,POST,/login,200,4318
192.168.1.91,GET,/login,200,799
192.168.1.1,PUT,/cart,500,1011
192.168.1.194,GET,/cart,200,931
192.168.1.175,PUT,/products,200,1382
192.168.1.132,PUT,/home,500,4492
192.168.1.83,GET,/home,200,3996
192.168.1.232,PUT,/cart,404,1076
192.168.1.37,POST,/products,200,305
192.168.1.172,POST,/home,500,3319
192.168.1.228,PUT,/login,404,4485
192.168.1.141,GET,/home,200,4044
192.168.1.186,PUT,/home,200,2050
192.168.1.144,POST,/home,200,4235
192.168.1.248,POST,/cart,500,1134
192.168.1.127,GET,/login,404,1137
192.168.1.50,PUT,/cart,500,4154
192.168.1.12,GET,/products,200,4309
192.168.1.201,POST,/products,404,2533
192.168.1.109,POST,/cart,200,3581
192.168.1.150,PUT,/login,404,1460
192.168.1.220,POST,/products,200,4458
192.168.1.242,GET,/login,200,627
192.168.1.201,GET,/home,200,1878
192.168.1.156,GET,/login,500,786
192.168.1.68,PUT,/products,404,1199
192.168.1.118,GET,/products,200,539
192.168.1.70,PUT,/cart,200,2985
192.168.1.187,PUT,/cart,200,2349
192.168.1.207,POST,/products,500,839
192.168.1.87,GET,/login,200,784
192.168.1.141,GET,/products,200,542
192.168.1.138,PUT,/cart,200,2698
192.168.1.153,GET,/login,200,552
192.168.1.112,POST,/home,200,1844
192.168.1.126,PUT,/cart,500,2276
192.168.1.206,GET,/products,404,1395
192.168.1.216,POST,/products,404,1400
192.168.1.84,GET,/products,200,991
192.168.1.187,POST,/home,200,974
192.168.1.152,POST,/home,200,4533
192.168.1.134,POST,/home,404,1689
192.168.1.79,POST,/products,500,755
192.168.1.209,GET,/home,404,4480
192.168.1.253,POST,/login,500,4586
192.168.1.21,GET,/products,200,3224
192.168.1.181,PUT,/cart,200,4696
192.168.1.233,PUT,/login,200,449
192.168.1.100,POST,/home,200,2975
192.168.1.59,GET,/home,200,3178
192.168.1.105,GET,/login,200,3069
192.168.1.182,POST,/home,200,670
192.168.1.10,GET,/home,500,4767
192.168.1.215,GET,/products,500,2222
192.168.1.213,POST,/login,404,1320
192.168.1.156,GET,/home,200,2581
192.168.1.159,PUT,/home,500,332
192.168.1.44,GET,/products,200,801
192.168.1.63,GET,/login,500,3514
192.168.1.150,PUT,/home,200,4033
192.168.1.179,PUT,/cart,200,4302
192.168.1.188,PUT,/home,200,460
192.168.1.192,PUT,/home,200,203
192.168.1.5,PUT,/cart,500,1458
192.168.1.106,PUT,/cart,404,4533
192.168.1.65,POST,/home,200,3870
192.168.1.176,PUT,/products,200,2172
192.168.1.98,PUT,/login,200,3445
192.168.1.183,PUT,/cart,200,860
192.168.1.17,POST,/login,404,2390
192.168.1.194,PUT,/cart,200,1203
192.168.1.68,POST,/login,200,357
192.168.1.41,POST,/products,200,1290
192.168.1.173,PUT,/products,200,4738
192.168.1.107,POST,/login,404,2954
192.168.1.165,PUT,/products,200,2073
192.168.1.25,PUT,/home,500,1323
192.168.1.168,PUT,/login,500,1573
192.168.1.187,PUT,/cart,200,3806
192.168.1.237,PUT,/home,200,817
192.168.1.217,POST,/cart,200,1664
192.168.1.217,PUT,/login,404,1131
192.168.1.58,PUT,/cart,500,4002
192.168.1.157,PUT,/login,200,928
192.168.1.26,PUT,/cart,500,1826
192.168.1.120,POST,/products,200,2923
192.168.1.56,GET,/products,500,466
192.168.1.170,PUT,/home,404,3514
192.168.1.89,PUT,/cart,200,2615
192.168.1.175,POST,/cart,500,4775
192.168.1.227,PUT,/products,200,4140
192.168.1.251,GET,/home,500,3708
192.168.1.78,GET,/cart,200,3294
192.168.1.101,POST,/cart,500,811
192.168.1.153,POST,/products,200,3285
192.168.1.183,POST,/cart,200,2813
192.168.1.164,PUT,/products,200,875
192.168.1.55,GET,/products,404,3256
192.168.1.28,GET,/login,200,1129
192.168.1.67,GET,/cart,404,3438
192.168.1.37,GET,/login,404,3940
192.168.1.238,POST,/login,404,2644
192.168.1.142,POST,/home,200,2411
192.168.1.13,GET,/products,200,702
192.168.1.130,POST,/login,200,1809
192.168.1.65,GET,/cart,404,4541
192.168.1.15,PUT,/home,200,3513
192.168.1.222,PUT,/home,200,2521
192.168.1.132,POST,/home,200,4005
192.168.1.194,POST,/cart,404,608
192.168.1.212,POST,/cart,500,3386
192.168.1.54,POST,/home,200,1976
192.168.1.77,POST,/products,200,815
192.168.1.45,POST,/cart,500,532
192.168.1.163,PUT,/products,200,4951
192.168.1.108,PUT,/products,404,555
192.168.1.228,GET,/cart,200,2844
192.168.1.219,POST,/home,404,3269
192.168.1.77,GET,/login,200,3140
192.168.1.46,POST,/products,200,4074
192.168.1.23,POST,/products,200,4264
192.168.1.162,GET,/products,200,1081
192.168.1.94,PUT,/products,200,3959
192.168.1.165,GET,/cart,200,1243
192.168.1.23,POST,/cart,200,4015
192.168.1.192,PUT,/cart,200,2997
192.168.1.73,GET,/home,404,3707
192.168.1.126,GET,/cart,500,997
192.168.1.45,PUT,/products,404,3584
192.168.1.185,POST,/login,404,651
192.168.1.215,POST,/home,200,2251
192.168.1.228,PUT,/home,404,1739
192.168.1.93,PUT,/cart,200,690
192.168.1.138,PUT,/products,404,3222
192.168.1.91,PUT,/products,200,3155
192.168.1.116,PUT,/login,200,4667
192.168.1.242,GET,/products,200,554
192.168.1.101,GET,/login,200,3717
192.168.1.141,GET,/login,200,4526
192.168.1.128,PUT,/login,500,3858
192.168.1.103,GET,/cart,500,2081
192.168.1.97,POST,/products,200,4154
192.168.1.15,GET,/cart,200,319
192.168.1.52,POST,/cart,200,2582
192.168.1.91,PUT,/login,200,4554
192.168.1.240,PUT,/home,200,481
192.168.1.55,PUT,/cart,200,4781
192.168.1.202,GET,/products,200,3266
192.168.1.251,PUT,/products,500,1377
192.168.1.227,PUT,/products,200,4389
192.168.1.162,PUT,/home,200,2942
192.168.1.187,POST,/login,500,4236
192.168.1.19,PUT,/cart,200,1706
192.168.1.117,POST,/home,200,4193
192.168.1.13,GET,/login,200,4907
192.168.1.109,POST,/login,200,2299
192.168.1.154,PUT,/login,500,4136
192.168.1.57,PUT,/home,404,4428
192.168.1.175,PUT,/products,404,1290
192.168.1.174,GET,/home,200,4312
192.168.1.120,POST,/products,500,1248
192.168.1.39,GET,/login,200,3575
192.168.1.173,POST,/login,200,4023
192.168.1.144,GET,/cart,200,812
192.168.1.202,POST,/home,500,3801
192.168.1.119,GET,/home,404,887
192.168.1.192,GET,/login,404,2284
192.168.1.126,POST,/login,500,3560
192.168.1.202,GET,/cart,500,3406
192.168.1.202,GET,/products,200,3214
192.168.1.60,GET,/cart,404,1190
